institution_shortname,institution_dept,institution_name,institution_street,institution_city_or_municipal,institution_state_or_province,institution_country,institution_postal,author_list_id (leave blank for now),old_string,ldap_o
Aachen,III. Physikalisches Institut,RWTH Aachen University,,Aachen,,Germany,D-52056,IceCube,"III. Physikalisches Institut, RWTH Aachen University, D-52056 Aachen, Germany",rwth
Adelaideold,School of Chemistry & Physics,University of Adelaide,,Adelaide,South Australia,Australia,5005,IceCube,"School of Chemistry & Physics, University of Adelaide, Adelaide SA, 5005 Australia",adelaide
Adelaide,Department of Physics,University of Adelaide,,Adelaide,,Australia,5005,IceCube,"Department of Physics, University of Adelaide, Adelaide, 5005, Australia",adelaide
Anchorage,Dept. of Physics and Astronomy,University of Alaska Anchorage,,Anchorage,Alaska,USA,99508,IceCube,"Dept. of Physics and Astronomy, University of Alaska Anchorage, 3211 Providence Dr., Anchorage, AK 99508, USA",uaa
Arlington,Dept. of Physics,University of Texas at Arlington,"502 Yates St., Science Hall Rm 108, Box 19059",Arlington,Texas,USA,76019,IceCube,"Dept. of Physics, University of Texas at Arlington, 502 Yates St., Science Hall Rm 108, Box 19059, Arlington, TX 76019, USA",uta
Atlanta,CTSPS,Clark-Atlanta University,,Atlanta,Georgia,USA,30314,IceCube,"CTSPS, Clark-Atlanta University, Atlanta, GA 30314, USA",cau
GeorgiaOld,School of Physics,Georgia Institute of Technology,,Atlanta,Georgia,USA,30332,IceCube,"School of Physics, Georgia Institute of Technology, Atlanta, GA 30332. USA",gatech
Georgia,School of Physics and Center for Relativistic Astrophysics,Georgia Institute of Technology,,Atlanta,Georgia,USA,30332,IceCube,"School of Physics and Center for Relativistic Astrophysics, Georgia Institute of Technology, Atlanta, GA 30332, USA",gatech
Southern,Dept. of Physics,Southern University,,Baton Rouge,Louisiana,USA,70813,IceCube,"Dept. of Physics, Southern University, Baton Rouge, LA 70813, USA",southern
Berkeley,Dept. of Physics,University of California,,Berkeley,California,USA,94720,IceCube,"Dept. of Physics, University of California, Berkeley, CA 94720, USA",ucb
LBNL,,Lawrence Berkeley National Laboratory,,Berkeley,California,USA,94720,IceCube,"Lawrence Berkeley National Laboratory, Berkeley, CA 94720, USA",lbl
Berlin,Institut für Physik,Humboldt-Universität zu Berlin,,Berlin,,Germany,D-12489,IceCube,"Institut für Physik, Humboldt-Universität zu Berlin, D-12489 Berlin, Germany",humboldt
Bochum,Fakultät für Physik & Astronomie,Ruhr-Universität Bochum,,Bochum,,Germany,D-44780,IceCube,"Fakultät für Physik & Astronomie, Ruhr-Universität Bochum, D-44780 Bochum, Germany",rub
Bonn,Physikalisches Institut,Universität Bonn,Nussallee 12,Bonn,,Germany,D-53115,IceCube,"Physikalisches Institut, Universität Bonn, Nussallee 12, D-53115 Bonn, Germany",bonn
Barbados,Dept. of Physics,University of the West Indies,Cave Hill Campus,Bridgetown,,Barbados,BB11000,IceCube,"Dept. of Physics, University of the West Indies, Cave Hill Campus, Bridgetown BB11000, Barbados",uwi
BrusselsLibre,Science Faculty CP230,Université Libre de Bruxelles,,Brussels,,Belgium,B-1050,IceCube,"Université Libre de Bruxelles, Science Faculty CP230, B-1050 Brussels, Belgium",ulb
BrusselsVrije,Dienst ELEM,Vrije Universiteit Brussel (VUB),,Brussels,,Belgium,B-1050,IceCube,"Vrije Universiteit Brussel (VUB), Dienst ELEM, B-1050 Brussels, Belgium",vub
MIT,Dept. of Physics,Massachusetts Institute of Technology,,Cambridge,Massachusetts,USA,2139,IceCube,"Dept. of Physics, Massachusetts Institute of Technology, Cambridge, MA 02139, USA",mit
Chibaold,Dept. of Physics,Chiba University,,Chiba,,Japan,263-8522,IceCube,"Dept. of Physics, Chiba University, Chiba 263-8522, Japan",chiba
Chiba,Dept. of Physics and Institute for Global Prominent Research,Chiba University,,Chiba,,Japan,263-8522,IceCube,"Dept. of Physics and Institute for Global Prominent Research, Chiba University, Chiba 263-8522, Japan",chiba
Christchurch,Dept. of Physics and Astronomy,University of Canterbury,Private Bag 4800,Christchurch,,New Zealand,,IceCube,"Dept. of Physics and Astronomy, University of Canterbury, Private Bag 4800, Christchurch, New Zealand",canterbury
Maryland,Dept. of Physics,University of Maryland,,College Park,Maryland,USA,20742,IceCube,"Dept. of Physics, University of Maryland, College Park, MD 20742, USA",umd
Ohioold,Dept. of Physics and Center for Cosmology and Astro-Particle Physics,The Ohio State University,191 W. Woodruff Ave.,Columbus,Ohio,USA,43210,IceCube,"Dept. of Physics and Center for Cosmology and Astro-Particle Physics, The Ohio State University, 191 W. Woodruff Ave., Columbus, OH 43210, USA",osu
Ohio,Dept. of Physics and Center for Cosmology and Astro-Particle Physics,Ohio State University,,Columbus,Ohio,USA,43210,IceCube,"Dept. of Physics and Center for Cosmology and Astro-Particle Physics, Ohio State University, Columbus, OH 43210, USA",osu
OhioAstro,Dept. of Astronomy,Ohio State University,,Columbus,Ohio,USA,43210,IceCube,"Dept. of Astronomy, Ohio State University, Columbus, OH 43210, USA",osu
Copenhagenold,"Discovery Center, Niels Bohr Institute",University of Copenhagen,,Copenhagen,Blegdamsvej 17,Denmark,,PINGU,"Discovery Center, Niels Bohr Institute, University of Copenhagen, Blegdamsvej 17, Copenhagen, Denmark",nbi
Copenhagen,Niels Bohr Institute,University of Copenhagen,,Copenhagen,,Denmark,DK-2100,IceCube,"Niels Bohr Institute, University of Copenhagen, DK-2100 Copenhagen, Denmark",nbi
DortmundOld,Dept. of Physics,Universität Dortmund,,Dortmund,,Germany,D-44221,IceCube,"Dept. of Physics, Universität Dortmund, D-44221 Dortmund, Germany",dortmund
Dortmund,Dept. of Physics,TU Dortmund University,,Dortmund,,Germany,D-44221,IceCube,"Dept. of Physics, TU Dortmund University, D-44221 Dortmund, Germany",dortmund
Michigan,Dept. of Physics and Astronomy,Michigan State University,,East Lansing,Michigan,USA,48824,IceCube,"Dept. of Physics and Astronomy, Michigan State University, East Lansing, MI 48824, USA",msu
EdmontonOld,Dept. of Physics,University of Alberta,,Edmonton,Alberta,Canada,T6G 2G7,IceCube,"Dept. of Physics, University of Alberta, Edmonton, Alberta, Canada T6G 2G7",alberta
Edmonton,Dept. of Physics,University of Alberta,,Edmonton,Alberta,Canada,T6G 2E1,IceCube,"Dept. of Physics, University of Alberta, Edmonton, Alberta, Canada T6G 2E1",alberta
Erlangenvold,Erlangen Centre for Astroparticle Physics,University of Erlangen-Nürnberg,,Erlangen,,Germany,,PINGU,"Erlangen Centre for Astroparticle Physics, University of Erlangen-Nürnberg, Germany",erlangen
Erlangenold,Erlangen Centre for Astroparticle Physics,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erwin-Rommel-Str. 1,Erlangen,,Germany,D-91058,IceCube,"Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen Centre for Astroparticle Physics, Erwin-Rommel-Str. 1, D-91058 Erlangen, Germany",erlangen
Erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen Centre for Astroparticle Physics,,Erlangen,,Germany,D-91058,IceCube,"Erlangen Centre for Astroparticle Physics, Friedrich-Alexander-Universität Erlangen-Nürnberg, D-91058 Erlangen, Germany",erlangen
Geneva,Département de physique nucléaire et corpusculaire,Université de Genève,,Geneva,,Switzerland,CH-1211,IceCube,"Département de physique nucléaire et corpusculaire, Université de Genève, CH-1211 Genève, Switzerland",geneva
Gentold,Dept. of Subatomic and Radiation Physics,University of Gent,,Gent,,Belgium,B-9000,IceCube,"Dept. of Subatomic and Radiation Physics, University of Gent, B-9000 Gent, Belgium",ugent
